W(i - 2)	T(i - 2)	W(i - 1)	T(i - 1)	W(i + 1)	T(i + 1)	W(i + 2)	T(i + 2)
reacted	VBN	sharply	RB	to	TO	the	DT
presidents	NNS	met	NN	to	TO	try	NN
televised	VBN	speech	NN	,	,	Mr.	NNP
rose	VBD	in	IN	when	WRB	Colombia	NNP
report	NN	issued	VBN	,	,	the	DT
a	DT	statement	NN	Chinese	JJ	Foreign	NN
,	,	announced	VBD	,	,	include	NN
*	START	Including	VBG	's	POS	actions	NNS
accord	NN	signed	VBN	provides	VBZ	for	IN
cease-fire	NN	agreement	NN	Saturday	NNP	during	IN
agreement	NN	last	JJ	during	IN	peace	NN
was	VBD	upset	NN	by	IN	German	JJ
which	WDT	starts	NNS	.	.	*	END
in	IN	Germany	NNP	say	VB	information	NN
moon	NN	earlier	RBR	.	.	*	END
his	PRP$	release	NN	.	.	*	END
Besigye	NN	since	IN	,	,	when	WRB
trial	NN	began	VBD	.	.	*	END
Rose	VB	Garden	NN	as	IN	he	PRP
debts	NNS	in	IN	.	.	*	END
move	NN	follows	VBZ	's	POS	pledge	NN
have	VB	declared	VBN	and	CC	Wednesday	NNP
Tuesday	NNP	and	CC	a	DT	public	NN
signed	VBN	in	IN	when	WRB	Indonesian	JJ
on	IN	trial	NN	in	IN	France	NNP
subway	NN	in	IN	.	.	*	END
Ramda	NN	in	IN	.	.	*	END
*	START	In	IN	's	POS	trial	NN
including	VBG	the	DT	25	CD	,	,
the	DT	July	NNP	,	,	1995	CD
July	NNP	25	CD	1995	CD	attack	NN
25	CD	,	,	attack	NN	that	IN
was	VBD	signed	VBN	,	,	will	MD
fly	NN	home	NN	.	.	*	END
Sudan	NN	by	IN	.	.	*	END
12-year-old	JJ	girl	NN	in	IN	the	DT
be	VB	broadcast	NN	,	,	Mr.	NNP
after	IN	the	DT	7	CD	bombings	NNS
the	DT	July	NNP	bombings	NNS	in	IN
Mullen	NNP	said	VBD	that	IN	the	DT
,	,	said	VBD	that	IN	U.S.	NNP
cabinet	NN	members	NNS	that	IN	gas	NN
Georgia	NN	beginning	VBG	or	CC	,	,
latest	JJS	,	,	.	.	*	END
completed	VBN	by	IN	.	.	*	END
in	IN	next	JJ	's	POS	presidential	JJ
in	IN	Tokyo	NNP	,	,	Mr.	NNP
Japan	NNP	in	IN	,	,	where	WRB
ruler	NN	from	IN	to	TO	2000	CD
1990	CD	to	TO	,	,	has	VBZ
a	DT	statement	NN	that	IN	'	''
was	VBD	wounded	VBD	when	WRB	protesters	NNS
also	RB	demonstrated	VBN	in	IN	cities	NNS
international	JJ	conference	NN	the	DT	Muslim	NN
to	TO	32	CD	after	IN	searchers	NNS
province	NN	on	IN	when	WRB	a	DT
talks	NNS	in	IN	with	IN	a	DT
begin	NN	on	IN	17	CD	and	CC
on	IN	January	NNP	and	CC	they	PRP
began	VBD	in	IN	2004	CD	.	.
in	IN	January	NNP	.	.	*	END
central	JJ	Baghdad	NN	.	.	*	END
*	START	On	IN	,	,	dozens	NNS
*	START	Also	RB	,	,	an	DT
media	NNS	report	NN	that	IN	the	DT
the	DT	bill	NN	month	NN	.	.
bill	NN	last	JJ	.	.	*	END
collapsed	VBN	in	IN	,	,	when	WRB
televised	VBN	address	NN	to	TO	say	VB
to	TO	France	NNP	after	IN	suffering	VBG
a	DT	stroke	NN	while	IN	in	IN
president	NN	since	IN	.	.	*	END
the	DT	announcement	NN	during	IN	a	DT
campaign	NN	in	IN	.	.	*	END
*	START	On	IN	,	,	Mr.	NNP
in	IN	the	DT	massacre	NN	of	IN
was	VBD	arrested	VBN	in	IN	the	DT
forces	NNS	in	IN	1995	CD	in	IN
in	IN	July	NNP	in	IN	what	WP
established	VBN	in	IN	to	TO	ease	NN
by	IN	the	DT	25	CD	incident	NN
the	DT	October	NNP	incident	NN	.	.
killed	VBN	since	IN	when	WRB	an	DT
killed	VBN	early	RB	near	IN	the	DT
five	CD	Palestinians	NNS	during	IN	an	DT
Ismail	NN	Haniyeh	NN	denounced	VBD	the	DT
government	NN	resume	NN	in	IN	Juba	NN
extended	VBN	in	IN	.	.	*	END
Hemingway	NN	said	VBD	the	DT	so-called	JJ
statements	NNS	issued	VBN	,	,	Hamas	NN
brokered	VBN	last	JJ	by	IN	Palestinian	JJ
*	START	On	IN	,	,	Iraqi	NN
effect	NN	until	IN	.	.	*	END
bomb	NN	exploded	VBD	,	,	killing	VBG
*	START	Statements	NNS	say	VB	the	DT
workers	NNS	on	IN	.	.	*	END
*	*	*	START	,	,	spokesman	NN
suspects	NNS	early	RB	near	IN	the	DT
,	,	issued	VBN	,	,	said	VBD
due	JJ	out	IN	.	.	*	END
Department	NNP	report	NN	said	VBD	productivity	NN
for	IN	the	DT	three	CD	months	NNS
the	DT	last	JJ	months	NNS	of	IN
last	JJ	three	CD	of	IN	2008	CD
three	CD	months	NNS	2008	CD	.	.
months	NNS	of	IN	.	.	*	END
an	DT	explosion	NN	at	IN	a	DT
Carriles	NNS	in	IN	after	IN	he	PRP
in	IN	a	DT	Cuban	NN	airliner	NN
*	START	In	IN	,	,	U.S.	NNP
the	DT	nation	NN	,	,	General	NNP
during	IN	the	DT	SARS	NNS	,	,
Asia	NN	since	IN	.	.	*	END
Gilgit	NNP	in	IN	were	VBD	picked	NNS
8th	CD	-	:	centuries	NNS	A.D.	NN
-	:	12th	CD	A.D.	NN	)	)
USSR	NN	in	IN	-	:	an	DT
independence	NN	in	IN	following	VBG	the	DT
left	NN	in	IN	,	,	the	DT
in	IN	the	DT	of	IN	2004	CD
the	DT	spring	NN	2004	CD	.	.
spring	NN	of	IN	.	.	*	END
the	DT	early	RB	,	,	reforms	NNS
in	IN	the	DT	.	.	*	END
The	DT	period	NN	-	:	5	CD
*	START	In	IN	,	,	the	DT
surplus	NN	in	IN	,	,	the	DT
recession	NN	in	IN	slowed	VBD	growth	NN
*	START	During	IN	an	DT	increase	NN
in	IN	the	DT	19th	CD	century	NN
the	DT	late	RB	century	NN	;	:
late	RB	19th	CD	;	:	independence	NN
granted	VBN	in	IN	.	.	*	END
during	IN	the	DT	pressured	VBN	King	VBG
effect	NN	in	IN	,	,	but	CC
in	IN	mid	NN	.	.	*	END
groups	NNS	in	IN	.	.	*	END
in	IN	the	DT	19th	CD	century	NN
the	DT	early	RB	century	NN	.	.
early	RB	19th	CD	.	.	*	END
slaves	NNS	in	IN	.	.	*	END
India	NNP	between	IN	and	CC	1917	CD
1845	CD	and	CC	,	,	which	WDT
Trinidad	NN	in	IN	added	VBD	another	DT
attained	VBN	in	IN	.	.	*	END
released	VBN	on	IN	.	.	*	END
of	IN	Somalia	NN	after	IN	their	PRP$
over	IN	on	IN	.	.	*	END
health	NN	meeting	NN	that	IN	most	JJS
Maathai	NN	on	IN	placed	VBN	the	DT
of	IN	bombings	NNS	in	IN	Baghdad	NN
confirmed	VBN	the	DT	evening	VBG	helicopter	NN
*	START	Earlier	RBR	,	,	Israeli	JJ
Kabul	NNP	on	IN	29	CD	to	TO
on	IN	May	NNP	to	TO	discuss	NN
officials	NNS	said	VBD	that	IN	a	DT
their	PRP$	protest	NN	.	.	*	END
facility	NN	until	IN	.	.	*	END
in	IN	Cairo	NN	.	.	*	END
banned	VBN	in	IN	,	,	but	CC
*	*	*	START	told	NN	Russian	JJ
in	IN	the	DT	1990s	CD	.	.
the	DT	late	RB	.	.	*	END
joined	VBD	rescuers	NNS	to	TO	dig	NN
*	START	Also	RB	,	,	a	DT
of	IN	Tombstone	NN	to	TO	begin	NN
statement	NN	issued	VBN	,	,	the	DT
him	PRP	in	IN	's	POS	election	NN
of	IN	shopkeepers	NNS	,	,	Mr.	NNP
the	DT	polls	NNS	and	CC	Monday	NNP
Sunday	NNP	and	CC	to	TO	choose	NN
in	IN	Baghdad	NN	killed	VBN	at	IN
*	START	On	IN	,	,	a	DT
,	,	said	VBD	that	IN	it	PRP
Fox	NN	News	NNS	,	,	*	END
Baghdad	NN	early	RB	,	,	killing	VBG
*	START	On	IN	,	,	Iraq	NN
in	IN	Beijing	NNP	at	IN	a	DT
pledge	NN	on	IN	.	.	*	END
island	NN	in	IN	.	.	*	END
bank	NN	said	VBD	the	DT	money	NN
delayed	NNS	from	IN	to	TO	Wednesday	NNP
Saturday	NNP	to	TO	.	.	*	END
the	DT	deal	NN	4	CD	,	,
deal	NN	January	NNP	,	,	after	IN
moved	VBN	on	IN	to	TO	tighten	NNS
excessively	RB	in	IN	first	RB	quarter	NN
in	IN	the	DT	quarter	NN	.	.
the	DT	first	RB	.	.	*	END
loans	NNS	in	IN	first	RB	quarter	NN
in	IN	the	DT	quarter	NN	,	,
the	DT	first	RB	,	,	more	RBR
all	DT	of	IN	.	.	*	END
in	IN	the	DT	two	CD	years	NNS
the	DT	last	JJ	years	NNS	.	.
last	JJ	two	CD	.	.	*	END
end	NN	of	IN	.	.	*	END
were	VBD	arrested	VBN	after	IN	they	PRP
coastlines	NNS	on	IN	26	CD	.	.
on	IN	December	NNP	.	.	*	END
since	IN	early	RB	.	.	*	END
a	DT	statement	NN	that	IN	the	DT
the	DT	failed	VBD	21	CD	attacks	NNS
failed	VBD	July	NNP	attacks	NNS	on	IN
around	IN	midday	NN	,	,	for	IN
after	IN	the	DT	21	CD	attacks	NNS
the	DT	July	NNP	attacks	NNS	,	,
order	NN	on	IN	13	CD	.	.
on	IN	September	NNP	.	.	*	END
White	NNP	House	NNP	,	,	U.S.	NNP
visit	NN	Iowa	NNP	to	TO	inspect	NN
months	NNS	(	(	fourth	JJ	quarter	NN
(	(	the	DT	quarter	NN	of	IN
the	DT	fourth	JJ	of	IN	2004	CD
fourth	JJ	quarter	NN	2004	CD	)	)
quarter	NN	of	IN	)	)	.	.
in	IN	the	DT	years	NNS	of	IN
the	DT	early	RB	of	IN	his	PRP$
early	RB	years	NNS	his	PRP$	1973	CD
years	NNS	of	IN	1973	CD	to	TO
of	IN	his	PRP$	to	TO	1990	CD
1973	CD	to	TO	rule	NN	.	.
's	POS	indictment	NN	comes	VBZ	six	CD
90	CD	on	IN	,	,	had	VBD
his	PRP$	indictment	NN	on	IN	charges	NNS
a	DT	document	NN	extending	VBG	voting	NN
formed	VBN	in	IN	.	.	*	END
before	IN	midnight	NN	(	(	about	IN
triggered	VBN	the	DT	26	CD	tsunamis	NN
the	DT	December	NNP	tsunamis	NN	,	,
,	,	the	DT	democratic	JJ	presidential	JJ
in	IN	Spanish	JJ	that	IN	the	DT
radio	NN	address	NN	the	DT	president	NN
the	DT	early	RB	.	.	*	END
killed	VBN	late	RB	outside	IN	his	PRP$
month	NN	in	IN	during	IN	the	DT
army	NN	bus	NN	in	IN	Kabul	NNP
in	IN	attacks	NNS	northeast	NN	of	IN
to	TO	resume	NN	with	IN	a	DT
Government	NN	,	,	[	NN	May	NNP
Wednesday	NNP	[	NN	14	CD	]	NN
[	NN	May	NNP	]	NN	officially	RB
News	NNS	reports	NNS	quote	NN	an	DT
visit	NN	on	IN	6	CD	to	TO
on	IN	August	NNP	to	TO	discuss	NN
released	VBN	late	RB	.	.	*	END
was	VBD	seized	VBN	by	IN	six	CD
Officials	NNS	said	VBD	that	IN	the	DT
in	IN	late	RB	.	.	*	END
the	DT	announcement	NN	at	IN	a	DT
Games	NNS	in	IN	.	.	*	END
in	IN	late	RB	in	IN	the	DT
Talabani	NN	on	IN	to	TO	urge	NN
Mahmoud	NN	Abbas	NN	in	IN	Jerusalem	NN
leader	NN	in	IN	.	.	*	END
talks	NNS	in	IN	with	IN	the	DT
deal	NN	by	IN	year	NN	's	POS
by	IN	this	DT	's	POS	end	NN
this	DT	year	NN	end	NN	.	.
year	NN	's	POS	.	.	*	END
soldiers	NNS	late	RB	when	WRB	they	PRP
were	VBD	killed	VBN	during	IN	a	DT
*	START	On	IN	,	,	the	DT
video	NN	released	VBN	,	,	by	IN
rolled	VBN	in	IN	morning	NN	helping	VBG
percent	NN	on	IN	.	.	*	END
began	VBD	on	IN	5	CD	,	,
on	IN	May	NNP	,	,	has	VBZ
*	*	*	START	,	,	Sunni	NN
Afghanistan	NNP	's	POS	parliamentary	JJ	vote	NN
cellist	NN	said	VBD	he	PRP	is	VBZ
hospitalization	NN	in	IN	,	,	Russian	JJ
Union	NNP	in	IN	in	IN	response	NN
*	*	*	START	's	POS	vote	NN
from	IN	its	PRP$	starting	VBG	date	NN
straight	NN	sets	NNS	to	TO	Spain	NNP
continue	NN	until	IN	.	.	*	END
capital	NN	late	RB	.	.	*	END
in	IN	the	DT	14	CD	bombing	NN
the	DT	February	NNP	bombing	NN	in	IN
commission	NN	in	IN	implicated	VBN	top	NN
York	NNP	in	IN	,	,	but	CC
that	IN	a	DT	bid	NN	for	IN
from	IN	her	PRP$	Senate	NNP	campaign	NN
Kyi	NNP	met	NN	with	IN	a	DT
to	TO	reporters	NNS	at	IN	her	PRP$
her	PRP$	release	NN	13	CD	from	IN
release	NN	November	NNP	from	IN	more	RBR
also	RB	met	NN	with	IN	Burma	NN
opened	VBN	fire	NN	on	IN	a	DT
with	IN	the	DT	bombings	NNS	of	IN
Front	NN	said	VBD	,	,	the	DT
bombing	NN	began	VBD	in	IN	the	DT
bombings	NNS	continue	NN	.	.	*	END
forces	NNS	in	IN	to	TO	form	NN
The	DT	pontiff	NN	visited	VBN	several	JJ
of	IN	the	DT	century	NN	Santa	NNP
the	DT	13th	CD	Santa	NNP	Maria	NNS
quake	NN	on	IN	6	CD	reduced	VBN
on	IN	April	NNP	reduced	VBN	large	JJ
told	NN	reporters	NNS	the	DT	Taleban	NN
elections	NNS	on	IN	18	CD	,	,
on	IN	September	NNP	,	,	a	DT
Germany	NNP	gathered	VBN	to	TO	share	NN
starting	VBG	in	IN	and	CC	came	VBD
breached	VBN	on	IN	9	CD	,	,
on	IN	November	NNP	,	,	1989	CD
November	NNP	9	CD	1989	CD	as	IN
9	CD	,	,	as	IN	a	DT
from	IN	Denmark	NN	by	IN	demanding	VBG
